name,comment,terminationCondition,duration,deltaDuration,parameter.arka.speed,parameter.arka.sequencerType,parameter.arka.sequencerParams,parameter.putzini.move,parameter.putzini.height,parameter.putzini.head,parameter.putzini.audio,parameter.putzini.lamp,parameter.putzini.vacuum,parameter.player.play,parameter.player.stop,overallLight,parameter.beamer
Ausgangsposition,Arka start ,WaitForArka,,,,CandlePosition,,,,,,,,,,Tonpult: Funk auf 50%,
Ausgangsposition,Arka start ,Duration,2.0,,,CandlePosition,,,,,,,,,,,
Beginn Musik,Musik start,Duration,4.0,,,,,,,,,,,"{""file"": ""opera.wav"", ""labels"":""opera.txt""}",,Tag: 4 Strahler Galerie + A1+3 + B1 ,
Song 1 step 1 Lucevan le Stelle Tosca (Beginn Arie 1),arka bewegt sich zu drone (bis Ende Drone bzw. Beginn Arie) 42 sek wird währenddessen langsamer,WaitForMusic,,,9.0,RandomDrone,,,0.0,90.0,,,,,,  ,
Song 1 step 2 Lucevan le Stelle Tosca (BeginnMotivArie1),"arka malt zu musik (bis Beginn Motiv) 
nach 30 sek",WaitForMusic,,,10.0,RandomMove,,"moveToPos(0,-250,50,40)",,,,,,,,,
Song 1 step 3 Lucevan le Stelle Tosca,arka gets color - ca 16 sek,WaitForArka,,,10.0,GetColor1,,"lookAtPos(0,0,100)",,220.0,,"{""front"": {""r"":250,""g"":250, ""b"":250, ""w"":250},""back"":{""r"":250, ""g"":200, ""b"":150}}",,,,,
Song 1 step 4 Lucevan le Stelle Tosca(BeginnGesangArie1),"arka draws (bis Beginn Gesang) 
bis hier 31 sek ",WaitForMusic,,,15.0,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,100.0,,,,,,,,
Song 1 step 5 Lucevan le Stelle Tosca,arka bewegt sich,Duration,10.0,5.0,20.0,RandomMove,,,,,,,,,,,
Song 1 step 6 Lucevan le Stelle Tosca,arka gets color,WaitForArka,,,15.0,GetColor1,,,,,,,,,,,
Song 1 step 7 Lucevan le Stelle Tosca,arka malt,Duration,6.0,2.0,10.0,RandomDraw,"{""rMin"":200.0, ""rMax"":680.0, ""alphaMin"": -135.0, ""alphaMax"": 135.0}",,,,,,,,,,
Song 1 step 8 Lucevan le Stelle Tosca,arka bewegt sich,WaitForArka,,,15.0,GetColor1,,,,,,,,,,,
